R;Z;BFS_Sag;CRD;Slope;BFS_Slope;Slope_Delta;One_fiber_coverage;delta_z1
432;-8.422305;-8.491825;0.06952047;-0.03997275;-0.0393292;0.000643543;#NOMBRE!;#NOMBRE!
433;-8.462328;-8.5312;0.0688717;-0.04007439;-0.03942038;0.000654002;#NOMBRE!;#NOMBRE!
434;-8.502454;-8.570666;0.06821244;-0.04017609;-0.03951157;0.000664524;#NOMBRE!;#NOMBRE!
435;-8.542681;-8.610223;0.06754263;-0.04027786;-0.03960275;0.000675108;#NOMBRE!;#NOMBRE!
436;-8.583009;-8.649872;0.0668622;-0.04037969;-0.03969393;0.000685755;#NOMBRE!;#NOMBRE!
437;-8.62344;-8.689611;0.0661711;-0.04048158;-0.03978512;0.000696464;#NOMBRE!;#NOMBRE!
438;-8.663973;-8.729442;0.06546925;-0.04058354;-0.0398763;0.000707236;#NOMBRE!;#NOMBRE!
439;-8.704607;-8.769364;0.06475661;-0.04068556;-0.03996749;0.000718071;#NOMBRE!;#NOMBRE!
440;-8.745344;-8.809377;0.06403309;-0.04078765;-0.04005868;0.00072897;#NOMBRE!;#NOMBRE!
441;-8.786183;-8.849481;0.06329865;-0.0408898;-0.04014987;0.000739931;#NOMBRE!;#NOMBRE!
442;-8.827123;-8.889677;0.06255321;-0.04099201;-0.04024106;0.000750956;#NOMBRE!;#NOMBRE!
443;-8.868167;-8.929963;0.06179671;-0.04109429;-0.04033225;0.000762044;#NOMBRE!;#NOMBRE!
444;-8.909312;-8.970341;0.0610291;-0.04119664;-0.04042344;0.000773196;#NOMBRE!;#NOMBRE!
445;-8.95056;-9.01081;0.0602503;-0.04129905;-0.04051464;0.000784411;#NOMBRE!;#NOMBRE!
446;-8.99191;-9.05137;0.05946026;-0.04140152;-0.04060583;0.000795691;#NOMBRE!;#NOMBRE!
447;-9.033363;-9.092022;0.0586589;-0.04150406;-0.04069702;0.000807035;#NOMBRE!;#NOMBRE!
448;-9.074918;-9.132764;0.05784616;-0.04160666;-0.04078822;0.000818443;#NOMBRE!;#NOMBRE!
449;-9.116576;-9.173598;0.05702199;-0.04170933;-0.04087942;0.000829915;#NOMBRE!;#NOMBRE!
450;-9.158337;-9.214523;0.05618631;-0.04181207;-0.04097062;0.000841452;#NOMBRE!;#NOMBRE!
451;-9.2002;-9.25554;0.05533907;-0.04191487;-0.04106181;0.000853053;#NOMBRE!;#NOMBRE!
452;-9.242167;-9.296647;0.05448018;-0.04201773;-0.04115301;0.00086472;#NOMBRE!;#NOMBRE!
453;-9.284236;-9.337846;0.0536096;-0.04212067;-0.04124422;0.000876451;#NOMBRE!;#NOMBRE!
454;-9.326408;-9.379135;0.05272726;-0.04222367;-0.04133542;0.000888247;#NOMBRE!;#NOMBRE!
455;-9.368683;-9.420516;0.05183309;-0.04232673;-0.04142662;0.000900109;#NOMBRE!;#NOMBRE!
456;-9.411062;-9.461989;0.05092702;-0.04242986;-0.04151783;0.000912036;#NOMBRE!;#NOMBRE!
457;-9.453543;-9.503552;0.05000899;-0.04253306;-0.04160903;0.000924028;#NOMBRE!;#NOMBRE!
458;-9.496128;-9.545207;0.04907894;-0.04263632;-0.04170024;0.000936087;#NOMBRE!;#NOMBRE!
459;-9.538816;-9.586952;0.0481368;-0.04273966;-0.04179145;0.000948211;#NOMBRE!;#NOMBRE!
460;-9.581607;-9.62879;0.0471825;-0.04284305;-0.04188265;0.000960401;#NOMBRE!;#NOMBRE!
461;-9.624502;-9.670718;0.04621598;-0.04294652;-0.04197386;0.000972657;#NOMBRE!;#NOMBRE!
462;-9.6675;-9.712737;0.04523716;-0.04305005;-0.04206507;0.000984979;#NOMBRE!;#NOMBRE!
463;-9.710602;-9.754848;0.044246;-0.04315365;-0.04215629;0.000997367;#NOMBRE!;#NOMBRE!
464;-9.753807;-9.79705;0.04324241;-0.04325732;-0.0422475;0.001009823;#NOMBRE!;#NOMBRE!
465;-9.797117;-9.839343;0.04222633;-0.04336106;-0.04233871;0.001022344;#NOMBRE!;#NOMBRE!
466;-9.84053;-9.881727;0.0411977;-0.04346486;-0.04242993;0.001034933;#NOMBRE!;#NOMBRE!
467;-9.884046;-9.924203;0.04015644;-0.04356873;-0.04252114;0.001047589;#NOMBRE!;#NOMBRE!
468;-9.927667;-9.96677;0.0391025;-0.04367267;-0.04261236;0.001060311;#NOMBRE!;#NOMBRE!
469;-9.9714 ;-10.0094 ;0.0380 ;-0.0438 ;-0.0427 ;0.0011 ;#NOMBRE!;#NOMBRE!
