#More Negative is towards the Secondary (so the focal plane is concave),,,
#No Vigentting (yet) up to the full radius of 409.4 mm,,,
#ROC,,12657,
#Radius (mm),Z (mm),Avg F/num,Chief Ray Deviation (deg)
R,Z,fnum,CRD
239.1369806,-2.259,3.617314336,0.488835476
241.1835215,-2.298,3.617405423,0.493556667
243.2301338,-2.337,3.617497474,0.498292723
245.2768185,-2.377,3.617590493,0.503043814
247.3235762,-2.417,3.617684485,0.507810113
249.3704079,-2.457,3.617779456,0.512591795
251.4173142,-2.497,3.617875412,0.517389034
253.4642961,-2.538,3.617972357,0.522202007
255.5113544,-2.579,3.618070298,0.527030892
257.5584898,-2.621,3.618169239,0.531875868
259.6057033,-2.663,3.618269187,0.536737117
261.6529956,-2.705,3.618370148,0.54161482
263.7003675,-2.747,3.618472127,0.546509162
265.74782,-2.790,3.618575129,0.551420327
267.795354,-2.833,3.618679161,0.556348504
269.8429701,-2.877,3.61878423,0.561293879
271.8906694,-2.921,3.61889034,0.566256644
273.9384527,-2.965,3.618997499,0.57123699
275.9863209,-3.009,3.619105711,0.576235111
278.0342748,-3.054,3.619214985,0.5812512
280.0823154,-3.099,3.619325326,0.586285455
282.1304435,-3.145,3.61943674,0.591338075
284.1786601,-3.191,3.619549234,0.596409259
286.2269661,-3.237,3.619662815,0.601499209
288.2753624,-3.283,3.619777489,0.606608129
290.3238499,-3.330,3.619893263,0.611736224
292.3724295,-3.377,3.620010144,0.616883701
294.4211022,-3.425,3.620128139,0.62205077
296.469869,-3.473,3.620247254,0.627237642
298.5187308,-3.521,3.620367498,0.632444529
300.5676885,-3.569,3.620488876,0.637671647
302.6167431,-3.618,3.620611397,0.642919212
304.6658957,-3.667,3.620735067,0.648187443
306.7151471,-3.717,3.620859894,0.653476562
308.7644984,-3.767,3.620985886,0.65878679
310.8139506,-3.817,3.621113049,0.664118354
312.8635046,-3.867,3.621241392,0.66947148
314.9131616,-3.918,3.621370923,0.674846397
316.9629224,-3.969,3.621501649,0.680243338
319.0127882,-4.021,3.621633578,0.685662536
321.06276,-4.073,3.621766718,0.691104228
323.1128389,-4.125,3.621901077,0.69656865
325.1630258,-4.177,3.622036664,0.702056045
327.2133218,-4.230,3.622173487,0.707566655
329.2637281,-4.284,3.622311553,0.713100726
331.3142457,-4.337,3.622450873,0.718658506
333.3648757,-4.391,3.622591454,0.724240244
335.4156192,-4.445,3.622733304,0.729846194
337.4664773,-4.500,3.622876434,0.735476611
339.5174511,-4.555,3.62302085,0.741131754
341.5685418,-4.610,3.623166564,0.746811882
343.6197504,-4.665,3.623313583,0.75251726
345.6710782,-4.721,3.623461916,0.758248152
347.7225263,-4.777,3.623611574,0.764004829
349.7740958,-4.834,3.623762565,0.769787561
351.8257879,-4.891,3.623914899,0.775596623
353.8776038,-4.948,3.624068585,0.781432292
355.9295447,-5.006,3.624223634,0.787294848
357.9816118,-5.063,3.624380055,0.793184574
360.0338063,-5.122,3.624537858,0.799101758
362.0861295,-5.180,3.624697053,0.805046687
364.1385825,-5.239,3.624857649,0.811019654
366.1911667,-5.298,3.625019659,0.817020955
368.2438832,-5.358,3.625183092,0.823050889
370.2967333,-5.418,3.625347957,0.829109756
372.3497184,-5.478,3.625514267,0.835197864
374.4028397,-5.539,3.625682032,0.84131552
376.4560985,-5.600,3.625851262,0.847463036
378.5094961,-5.661,3.626021969,0.853640728
380.5630338,-5.723,3.626194163,0.859848915
382.616713,-5.785,3.626367857,0.866087919
384.6705351,-5.847,3.626543061,0.872358068
