#Listing of surface sag

#File : D:\Beast\Lampton\LamptonChiefRayADC_3_newAngles_240_ADC25_FP50_f36_1cr_4con.zmx
#Title: 
#Date : 10/16/2023
#Configuration 1 of 3

#Units are Millimeters.
#Slope units are dimensionless.
#Clear Semi-Diameter of surface 22:   4.084421E+02.
#Algorithm assumes +z goes from air to glass.

#Method: Minimum Volume Removal
#Best Fit Sphere Radius        : 	 -1.277364E+04
#Best Fit Sphere Vertex Offset : 	 -4.512461E-02
#Maximum Depth to Remove       : 	  4.512461E-02
#RMS of Depth to Remove        : 	  1.879436E-02
#Maximum Slope Deviation       : 	  2.902025E-03
#RMS Slope Deviation           : 	  6.594154E-04
#Volume To Remove              : 	  7.887209E+03	 cubic Millimeters

       Y-coord 	        Sag 	        BFS Sag 	        Deviation 	        Remove 	              Slope 	        BFS Slope 	       Slope Delta
  3.300000E+01 	  -4.674281E-02 	  -4.262693E-02 	  -4.115882E-03 	   4.100873E-02 	  -2.823624E-03 	  -2.581856E-03 	   2.417684E-04
  3.400000E+01 	  -4.961051E-02 	  -4.524953E-02 	  -4.360980E-03 	   4.076363E-02 	  -2.908297E-03 	  -2.660143E-03 	   2.481542E-04
  3.500000E+01 	  -5.256284E-02 	  -4.795042E-02 	  -4.612422E-03 	   4.051219E-02 	  -2.992887E-03 	  -2.738430E-03 	   2.544573E-04
  3.600000E+01 	  -5.559971E-02 	  -5.072959E-02 	  -4.870122E-03 	   4.025449E-02 	  -3.077393E-03 	  -2.816717E-03 	   2.606754E-04
  3.700000E+01 	  -5.872104E-02 	  -5.358705E-02 	  -5.133996E-03 	   3.999061E-02 	  -3.161811E-03 	  -2.895004E-03 	   2.668065E-04
  3.800000E+01 	  -6.192675E-02 	  -5.652279E-02 	  -5.403954E-03 	   3.972065E-02 	  -3.246140E-03 	  -2.973292E-03 	   2.728485E-04
  3.900000E+01 	  -6.521674E-02 	  -5.953683E-02 	  -5.679907E-03 	   3.944470E-02 	  -3.330378E-03 	  -3.051579E-03 	   2.787993E-04
  4.000000E+01 	  -6.859091E-02 	  -6.262915E-02 	  -5.961763E-03 	   3.916285E-02 	  -3.414523E-03 	  -3.129866E-03 	   2.846568E-04
  4.100000E+01 	  -7.204918E-02 	  -6.579976E-02 	  -6.249426E-03 	   3.887518E-02 	  -3.498573E-03 	  -3.208154E-03 	   2.904190E-04
  4.200000E+01 	  -7.559146E-02 	  -6.904865E-02 	  -6.542802E-03 	   3.858181E-02 	  -3.582525E-03 	  -3.286441E-03 	   2.960840E-04
  4.300000E+01 	  -7.921763E-02 	  -7.237584E-02 	  -6.841791E-03 	   3.828282E-02 	  -3.666378E-03 	  -3.364729E-03 	   3.016497E-04
  4.400000E+01 	  -8.292760E-02 	  -7.578131E-02 	  -7.146293E-03 	   3.797832E-02 	  -3.750131E-03 	  -3.443016E-03 	   3.071142E-04
  4.500000E+01 	  -8.672127E-02 	  -7.926507E-02 	  -7.456206E-03 	   3.766840E-02 	  -3.833780E-03 	  -3.521304E-03 	   3.124756E-04
  4.600000E+01 	  -9.059854E-02 	  -8.282712E-02 	  -7.771426E-03 	   3.735318E-02 	  -3.917324E-03 	  -3.599592E-03 	   3.177320E-04
  4.700000E+01 	  -9.455930E-02 	  -8.646745E-02 	  -8.091847E-03 	   3.703276E-02 	  -4.000761E-03 	  -3.677880E-03 	   3.228817E-04
  4.800000E+01 	  -9.860343E-02 	  -9.018607E-02 	  -8.417361E-03 	   3.670725E-02 	  -4.084090E-03 	  -3.756167E-03 	   3.279226E-04
