robot_number;x [mm];y [mm];geometry
0;-612.3846097322776;-92.79966794669222;POINT (-612.3846097322776 -92.79966794669222)
1;-612.3846097165789;74.24179661571033;POINT (-612.3846097165789 74.24179661571033)
2;-612.3846096908266;-74.24174730968213;POINT (-612.3846096908266 -74.24174730968213)
3;-612.3846096751279;92.79971725272043;POINT (-612.3846096751279 92.79971725272043)
4;-609.2846097322775;-98.16866794669222;POINT (-609.2846097322775 -98.16866794669222)
5;-609.2846097322775;-87.43066794669222;POINT (-609.2846097322775 -87.43066794669222)
6;-609.2846097165789;68.87279661571033;POINT (-609.2846097165789 68.87279661571033)
7;-609.2846097165789;79.61079661571033;POINT (-609.2846097165789 79.61079661571033)
8;-609.2846096908265;-79.61074730968213;POINT (-609.2846096908265 -79.61074730968213)
9;-609.2846096908265;-68.87274730968213;POINT (-609.2846096908265 -68.87274730968213)
10;-609.2846096751279;87.43071725272043;POINT (-609.2846096751279 87.43071725272043)
11;-609.2846096751279;98.16871725272043;POINT (-609.2846096751279 98.16871725272043)
12;-606.1846097322775;-103.53766794669222;POINT (-606.1846097322775 -103.53766794669222)
13;-606.1846097322775;-92.79966794669222;POINT (-606.1846097322775 -92.79966794669222)
14;-606.1846097165788;63.50379661571033;POINT (-606.1846097165788 63.50379661571033)
15;-606.1846097165788;74.24179661571033;POINT (-606.1846097165788 74.24179661571033)
16;-606.1846096908265;-74.24174730968213;POINT (-606.1846096908265 -74.24174730968213)
17;-606.1846096908265;-63.50374730968212;POINT (-606.1846096908265 -63.50374730968212)
18;-606.1846096751278;92.79971725272043;POINT (-606.1846096751278 92.79971725272043)
19;-606.1846096751278;103.53771725272043;POINT (-606.1846096751278 103.53771725272043)
20;-603.0846097322775;-108.90666794669222;POINT (-603.0846097322775 -108.90666794669222)
21;-603.0846097322775;-98.16866794669222;POINT (-603.0846097322775 -98.16866794669222)
22;-603.0846097322775;-87.43066794669222;POINT (-603.0846097322775 -87.43066794669222)
23;-603.0846097165789;58.13479661571033;POINT (-603.0846097165789 58.13479661571033)
24;-603.0846097165789;68.87279661571033;POINT (-603.0846097165789 68.87279661571033)
25;-603.0846097165789;79.61079661571033;POINT (-603.0846097165789 79.61079661571033)
26;-603.0846096908265;-79.61074730968213;POINT (-603.0846096908265 -79.61074730968213)
27;-603.0846096908265;-68.87274730968213;POINT (-603.0846096908265 -68.87274730968213)
28;-603.0846096908265;-58.13474730968212;POINT (-603.0846096908265 -58.13474730968212)
29;-603.0846096751278;87.43071725272043;POINT (-603.0846096751278 87.43071725272043)
30;-603.0846096751278;98.16871725272043;POINT (-603.0846096751278 98.16871725272043)
31;-603.0846096751278;108.90671725272043;POINT (-603.0846096751278 108.90671725272043)
32;-599.9846097322775;-114.27566794669222;POINT (-599.9846097322775 -114.27566794669222)
33;-599.9846097322775;-103.53766794669222;POINT (-599.9846097322775 -103.53766794669222)
34;-599.9846097322775;-92.79966794669222;POINT (-599.9846097322775 -92.79966794669222)
35;-599.9846097165789;52.76579661571033;POINT (-599.9846097165789 52.76579661571033)
36;-599.9846097165789;63.50379661571033;POINT (-599.9846097165789 63.50379661571033)
37;-599.9846097165789;74.24179661571033;POINT (-599.9846097165789 74.24179661571033)
38;-599.9846096908265;-74.24174730968213;POINT (-599.9846096908265 -74.24174730968213)
39;-599.9846096908265;-63.50374730968212;POINT (-599.9846096908265 -63.50374730968212)
40;-599.9846096908265;-52.76574730968212;POINT (-599.9846096908265 -52.76574730968212)
41;-599.9846096751279;92.79971725272043;POINT (-599.9846096751279 92.79971725272043)
42;-599.9846096751279;103.53771725272043;POINT (-599.9846096751279 103.53771725272043)
43;-599.9846096751279;114.27571725272043;POINT (-599.9846096751279 114.27571725272043)
44;-596.8846097322776;-119.64466794669221;POINT (-596.8846097322776 -119.64466794669221)
45;-596.8846097322776;-108.90666794669222;POINT (-596.8846097322776 -108.90666794669222)
46;-596.8846097322776;-98.16866794669222;POINT (-596.8846097322776 -98.16866794669222)
47;-596.8846097322776;-87.43066794669222;POINT (-596.8846097322776 -87.43066794669222)
48;-596.8846097165789;47.396796615710336;POINT (-596.8846097165789 47.396796615710336)
49;-596.8846097165789;58.13479661571033;POINT (-596.8846097165789 58.13479661571033)
50;-596.8846097165789;68.87279661571033;POINT (-596.8846097165789 68.87279661571033)
51;-596.8846097165789;79.61079661571033;POINT (-596.8846097165789 79.61079661571033)
52;-596.8846096908266;-79.61074730968213;POINT (-596.8846096908266 -79.61074730968213)
53;-596.8846096908266;-68.87274730968213;POINT (-596.8846096908266 -68.87274730968213)
54;-596.8846096908266;-58.13474730968212;POINT (-596.8846096908266 -58.13474730968212)
55;-596.8846096908266;-47.39674730968213;POINT (-596.8846096908266 -47.39674730968213)
56;-596.8846096751279;87.43071725272043;POINT (-596.8846096751279 87.43071725272043)
57;-596.8846096751279;98.16871725272043;POINT (-596.8846096751279 98.16871725272043)
58;-596.8846096751279;108.90671725272043;POINT (-596.8846096751279 108.90671725272043)
59;-596.8846096751279;119.64471725272043;POINT (-596.8846096751279 119.64471725272043)
60;-593.7846097322775;-125.01366794669221;POINT (-593.7846097322775 -125.01366794669221)
61;-593.7846097322775;-114.27566794669222;POINT (-593.7846097322775 -114.27566794669222)
62;-593.7846097322775;-103.53766794669222;POINT (-593.7846097322775 -103.53766794669222)
63;-593.7846097322775;-92.79966794669222;POINT (-593.7846097322775 -92.79966794669222)
